Price,Close,High,Low,Open,Volume
Ticker,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS
Date,,,,,
1996-01-01,34.40028381347656,34.82886134203874,34.40028381347656,34.620138643772314,11000
1996-01-02,34.76764678955078,34.89844672865385,34.411426943709586,34.400294808122325,203500
1996-01-03,34.561702728271484,34.70363265976199,34.3975064055004,34.76764189957656,58000
1996-01-04,34.56448745727539,34.675806684842634,34.45317035294581,34.5088289051106,111500
1996-01-05,34.50881576538086,34.731454135742574,34.23051886404714,34.564474296352856,39500
1996-01-08,34.52273178100586,34.59230600698674,34.244434877082355,34.50881608651493,107500
1996-01-09,34.65354537963867,34.7871288887963,34.39751262059421,34.52274755853659,114500
1996-01-10,34.90122604370117,34.954101027255255,34.51160983853883,34.653539772709664,113500
1996-01-11,34.73146057128906,34.95409685966719,34.511605723709124,34.9012218824174,67500
1996-01-12,34.75094223022461,34.95409782242479,34.73146152791449,34.73146152791449,57000
1996-01-15,34.73146057128906,34.8427776538595,34.73146057128906,34.750941273062615,18500
1996-01-16,34.86226272583008,34.898442693114376,34.67580425358992,34.73146492508979,62000
1996-01-17,35.02366638183594,35.12106987758798,34.7314558945798,34.86225366131143,139500
1996-01-18,35.0654182434082,35.121076788150404,34.73146272848022,35.02367327323286,105500
1996-01-19,35.44390869140625,35.85578709262465,34.92905962826437,35.06542457376689,345000
1996-01-22,35.37710189819336,35.45502468872619,35.13498283626336,35.44389255818767,65500
1996-01-23,35.42720031738281,35.677665857766264,35.34371038843027,35.3771067846587,109500
1996-01-24,35.25466537475586,35.34372033318556,34.95410409384149,35.42721028562989,82500
1996-01-25,35.23240280151367,35.343722035722564,34.286192495594804,35.25466707300301,136500
1996-01-26,35.23240280151367,35.23240280151367,35.23240280151367,35.23240280151367,0
1996-01-29,35.55244064331055,35.705504837840955,34.787123917133606,35.23239867862541,169000
1996-01-30,35.81125259399414,35.90030966402677,35.482864202817154,35.55243844635209,46000
1996-01-31,35.78620529174805,35.844649522163515,35.62201110347189,35.81125099915126,84000
1996-02-01,36.06450271606445,36.067288403461404,35.677670104135075,35.78620575074908,214000
1996-02-02,36.71573257446289,38.90593353227472,36.06730409997925,36.06451841136997,95500
1996-02-05,37.83726501464844,38.655454693047524,36.9021868500025,36.71572410819114,216000
1996-02-06,37.24448013305664,37.84838398560294,36.178602339179285,37.83725397640882,142000
1996-02-07,37.327999114990234,37.403136290092895,34.7871447067373,37.24450911839854,98500
1996-02-08,38.18235397338867,38.57197238681182,37.347462832950974,37.327984247841584,163000
1996-02-09,37.98475646972656,38.29366628853058,37.430943948742815,38.182344948233,113000
1996-02-12,38.87809753417969,39.128567430276675,37.570102231704446,37.98476637025241,227500
1996-02-13,39.48478698730469,39.79647832580934,37.78717327621473,38.878097207456996,219000
1996-02-14,39.295528411865234,40.35305766903837,39.017231462423595,39.48477254565227,96000
1996-02-15,39.74638366699219,39.96345500960416,39.03393970666437,39.295539593011014,148500
1996-02-16,39.23988342285156,39.57383902821895,39.12856630322107,39.746386084064895,177500
1996-02-19,39.56548309326172,39.79647010765942,38.73894068207694,39.239876120139705,166500
1996-02-20,39.245452880859375,39.59610565032485,39.078472945032296,39.565492803639096,139000
1996-02-21,39.245452880859375,39.245452880859375,39.245452880859375,39.245452880859375,0
1996-02-22,39.92170333862305,40.07476753614642,39.086812348286664,39.245443674758654,118500
1996-02-23,40.0413818359375,40.130434685822905,39.657330539211735,39.921711893511265,182000
